Item No,Item Name,Category,Formula,Plain Formula,Quantity,Unit,Location / Block,Grade,Notes
244,"Micropipette 0.5–10 µL Single Channel (Variable)","Equipment","Mechanical","Mechanical","2","pcs","Cupboard 1 (67)","Autoclavable","Precision micro volume pipettor with volume lock."
245,"Micropipette 2–20 µL Single Channel (Variable)","Equipment","Mechanical","Mechanical","3","pcs","Cupboard 1 (67)","Autoclavable","Universal tip fitting, ergonomic finger rest."
246,"Micropipette 20–200 µL Single Channel (Variable)","Equipment","Mechanical","Mechanical","4","pcs","Cupboard 1 (67)","Autoclavable","Standard laboratory volume pipettor."
247,"Micropipette 100–1000 µL Single Channel (Variable)","Equipment","Mechanical","Mechanical","4","pcs","Cupboard 1 (67)","Autoclavable","High precision 1mL adjustable micropipette."
248,"Micropipette 1–5 mL Macro Volume Pipettor","Equipment","Mechanical","Mechanical","2","pcs","Cupboard 1 (67)","Macro Pipette","Includes macro tip adapters."
249,"Electronic Motorized Pipette Filler (0.1–100 mL)","Equipment","Battery Powered","Battery Powered","2","units","Cupboard 1 (67)","Rechargeable Li-Ion","Speed control trigger with 0.45 µm membrane filter."
250,"Rubber 3-Way Pipette Bulb (Standard Red)","Equipment","Natural Rubber","Natural Rubber","10","pcs","Cupboard 1 (67)","Safety Suction Bulb","Three glass ball valves for aspirate, dispense, and drain."
251,"Pipette Pump / Pi-Pump 10 mL (Green)","Equipment","Plastic","Plastic","8","pcs","Cupboard 1 (67)","Thumbwheel Control","Rapid release lever with knurled thumbwheel."
252,"Pipette Pump / Pi-Pump 25 mL (Red)","Equipment","Plastic","Plastic","8","pcs","Cupboard 1 (67)","Thumbwheel Control","Thumbwheel aspirator for large volume serological pipettes."
253,"Micropipette Tips 10 µL White (Rack of 96)","Equipment","PP (Polypropylene)","PP (Polypropylene)","10","racks","Cupboard 1 (67)","DNase/RNase Free","Autoclavable micro tips in hinged rack."
254,"Micropipette Tips 200 µL Yellow (Rack of 96)","Equipment","PP (Polypropylene)","PP (Polypropylene)","15","racks","Cupboard 1 (67)","Universal Fit","Graduated yellow tips in polypropylene rack."
255,"Micropipette Tips 1000 µL Blue (Rack of 96)","Equipment","PP (Polypropylene)","PP (Polypropylene)","12","racks","Cupboard 1 (67)","Universal Fit","Graduated blue tips in polypropylene box."
256,"Microcentrifuge Tubes 1.5 mL Graduated (Box of 500)","Equipment","PP (Polypropylene)","PP (Polypropylene)","5","boxes","Cupboard 1 (67)","Boil-Proof Lock","Safe-lock snap cap with frosted writing area."
257,"Centrifuge Tubes 15 mL Conical Polypropylene (Rack of 50)","Equipment","PP (Polypropylene)","PP (Polypropylene)","6","racks","Cupboard 1 (67)","Sterile / Graduated","Screw cap, conical bottom, 12,000 x g rated."
258,"Centrifuge Tubes 50 mL Conical Polypropylene (Rack of 25)","Equipment","PP (Polypropylene)","PP (Polypropylene)","6","racks","Cupboard 1 (67)","Sterile / Graduated","High clarity tube with printed scale and writing patch."
