Item No,Item Name,Category,Formula,Plain Formula,Quantity,Unit,Location / Block,Grade,Notes
113,"Beaker 50 mL Borosilicate","Glassware","SiO₂·B₂O₃","SiO2.B2O3","12","pcs","Cupboard 1 (54)","Borosilicate 3.3","Graduated low form beaker with spout."
114,"Beaker 100 mL Borosilicate","Glassware","SiO₂·B₂O₃","SiO2.B2O3","18","pcs","Cupboard 1 (54)","Borosilicate 3.3","Graduated low form beaker with spout."
115,"Beaker 250 mL Borosilicate","Glassware","SiO₂·B₂O₃","SiO2.B2O3","24","pcs","Cupboard 1 (54)","Borosilicate 3.3","Graduated low form beaker with spout."
116,"Beaker 500 mL Borosilicate","Glassware","SiO₂·B₂O₃","SiO2.B2O3","15","pcs","Cupboard 1 (54)","Borosilicate 3.3","Graduated low form beaker with spout."
117,"Beaker 1000 mL Borosilicate","Glassware","SiO₂·B₂O₃","SiO2.B2O3","8","pcs","Cupboard 1 (54)","Borosilicate 3.3","Large capacity graduated beaker."
118,"Beaker 2000 mL Borosilicate","Glassware","SiO₂·B₂O₃","SiO2.B2O3","4","pcs","Cupboard 1 (54)","Borosilicate 3.3","Heavy duty tall form beaker."
119,"Conical Flask 50 mL (Erlenmeyer)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","10","pcs","Cupboard 1 (54)","Borosilicate 3.3","Narrow neck titration flask."
120,"Conical Flask 100 mL (Erlenmeyer)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","16","pcs","Cupboard 1 (54)","Borosilicate 3.3","Narrow neck titration flask."
121,"Conical Flask 250 mL (Erlenmeyer)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","20","pcs","Cupboard 1 (54)","Borosilicate 3.3","Narrow neck titration flask, standard laboratory size."
122,"Conical Flask 500 mL (Erlenmeyer)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","12","pcs","Cupboard 1 (54)","Borosilicate 3.3","Wide base titration flask."
123,"Conical Flask 1000 mL (Erlenmeyer)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","6","pcs","Cupboard 1 (54)","Borosilicate 3.3","Narrow neck preparation flask."
124,"Conical Flask 250 mL with Ground Joint (24/29)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","8","pcs","Cupboard 1 (54)","Borosilicate 3.3","Interchangeable standard taper joint socket."
125,"Volumetric Flask 10 mL Class A","Glassware","SiO₂·B₂O₃","SiO2.B2O3","6","pcs","Cupboard 1 (54)","Class A","With PE stopper and batch calibration certificate."
126,"Volumetric Flask 25 mL Class A","Glassware","SiO₂·B₂O₃","SiO2.B2O3","8","pcs","Cupboard 1 (54)","Class A","With PE stopper, calibrated at 20°C."
127,"Volumetric Flask 50 mL Class A","Glassware","SiO₂·B₂O₃","SiO2.B2O3","12","pcs","Cupboard 1 (54)","Class A","High precision volumetric preparation standard."
128,"Volumetric Flask 100 mL Class A","Glassware","SiO₂·B₂O₃","SiO2.B2O3","15","pcs","Cupboard 1 (54)","Class A","Standard volumetric analysis flask with glass stopper."
129,"Volumetric Flask 250 mL Class A","Glassware","SiO₂·B₂O₃","SiO2.B2O3","10","pcs","Cupboard 1 (54)","Class A","Calibrated at 20°C with ground glass stopper."
130,"Volumetric Flask 500 mL Class A","Glassware","SiO₂·B₂O₃","SiO2.B2O3","6","pcs","Cupboard 1 (54)","Class A","High accuracy standard solution preparation."
131,"Volumetric Flask 1000 mL Class A","Glassware","SiO₂·B₂O₃","SiO2.B2O3","4","pcs","Cupboard 1 (54)","Class A","1L volumetric calibration standard."
132,"Amber Volumetric Flask 100 mL Class A","Glassware","SiO₂·B₂O₃","SiO2.B2O3","5","pcs","Cupboard 1 (54)","Class A Amber","For light-sensitive reagents (AgNO3, etc.)."
133,"Measuring Cylinder 10 mL Class B","Glassware","SiO₂·B₂O₃","SiO2.B2O3","8","pcs","Cupboard 1 (54)","Borosilicate 3.3","Hexagonal glass base with spout."
134,"Measuring Cylinder 25 mL Class B","Glassware","SiO₂·B₂O₃","SiO2.B2O3","10","pcs","Cupboard 1 (54)","Borosilicate 3.3","Hexagonal glass base with graduation markings."
135,"Measuring Cylinder 50 mL Class B","Glassware","SiO₂·B₂O₃","SiO2.B2O3","12","pcs","Cupboard 1 (54)","Borosilicate 3.3","Graduated measuring cylinder with pouring spout."
136,"Measuring Cylinder 100 mL Class A","Glassware","SiO₂·B₂O₃","SiO2.B2O3","10","pcs","Cupboard 1 (54)","Class A","Precision graduated cylinder with calibration marks."
137,"Measuring Cylinder 250 mL Class B","Glassware","SiO₂·B₂O₃","SiO2.B2O3","6","pcs","Cupboard 1 (54)","Borosilicate 3.3","Hexagonal base with bumper guard ring."
138,"Measuring Cylinder 500 mL Class B","Glassware","SiO₂·B₂O₃","SiO2.B2O3","4","pcs","Cupboard 1 (54)","Borosilicate 3.3","Large capacity measuring cylinder."
139,"Measuring Cylinder 1000 mL Class B","Glassware","SiO₂·B₂O₃","SiO2.B2O3","3","pcs","Cupboard 1 (54)","Borosilicate 3.3","1 Litre tall graduated cylinder."
140,"Volumetric Pipette 1 mL Class A","Glassware","Glass","Glass","6","pcs","Cupboard 1 (54)","Class A","One mark bulb pipette."
141,"Volumetric Pipette 2 mL Class A","Glassware","Glass","Glass","6","pcs","Cupboard 1 (54)","Class A","One mark bulb pipette."
142,"Volumetric Pipette 5 mL Class A","Glassware","Glass","Glass","10","pcs","Cupboard 1 (54)","Class A","Single volume transfer pipette."
143,"Volumetric Pipette 10 mL Class A","Glassware","Glass","Glass","12","pcs","Cupboard 1 (54)","Class A","Single volume transfer pipette."
144,"Volumetric Pipette 20 mL Class A","Glassware","Glass","Glass","6","pcs","Cupboard 1 (54)","Class A","Single volume bulb pipette."
