Item No,Item Name,Category,Formula,Plain Formula,Quantity,Unit,Location / Block,Grade,Notes
1,"Alizarin","Chemical","C₁₄H₈O₄","C14H8O4","","","Block 1","Laboratory Grade",""
2,"Aluminium Chloride (Anhydrous)","Chemical","AlCl₃","AlCl3","500","g","Block 1","Laboratory Grade",""
3,"Aluminium Nitrate (Nonahydrate, Extra Pure)","Chemical","Al(NO₃)₃·9H₂O","Al(NO3)3.9H2O","500","g","Block 1","Extra Pure",""
4,"Ammonium Chloride","Chemical","NH₄Cl","NH4Cl","","","Block 1","Laboratory Grade",""
5,"Ammonium Chloride AR","Chemical","NH₄Cl","NH4Cl","500","g","Block 1","AR Grade",""
6,"Ammonium Thiocyanate","Chemical","NH₄SCN","NH4SCN","500","g","Block 1","Laboratory Grade",""
7,"Ammonium Thiocyanate (Crystals, Extra Pure)","Chemical","NH₄SCN","NH4SCN","500","g","Block 1","Extra Pure",""
8,"Ascorbic Acid","Chemical","C₆H₈O₆","C6H8O6","","","Block 3","Laboratory Grade",""
9,"Ascorbic Acid (Vitamin C)","Chemical","C₆H₈O₆","C6H8O6","","","Block 1","Laboratory Grade",""
10,"Bismuth Chloride","Chemical","BiCl₃","BiCl3","","","Block 1","Laboratory Grade",""
11,"Bismuth Nitrate GR Grade","Chemical","Bi(NO₃)₃·5H₂O","Bi(NO3)3.5H2O","100","g","Block 1","Laboratory Grade",""
12,"Calcium Carbonate","Chemical","CaCO₃","CaCO3","500","g","Block 2","Laboratory Grade",""
13,"Calcium Chloride","Chemical","CaCl₂","CaCl2","","","Block 2","Laboratory Grade",""
14,"Calcium Chloride Dihydrate","Chemical","CaCl₂·2H₂O","CaCl2.2H2O","500","g","Block 2","Laboratory Grade",""
15,"Carbon (Activated)","Chemical","C","C","500","g","Block 2","Laboratory Grade",""
16,"Cetrimide AR","Chemical","C₁₇H₃₈BrN","C17H38BrN","100","g","Block 2","AR Grade",""
17,"Charcoal (Activated)","Chemical","C","C","500","g","Block 2","Laboratory Grade",""
18,"Citric Acid Monohydrate","Chemical","C₆H₈O₇·H₂O","C6H8O7.H2O","500","g","Block 2","Laboratory Grade",""
19,"Cobalt Carbonate","Chemical","CoCO₃","CoCO3","100","g","Block 1","Laboratory Grade",""
20,"Cobalt Carbonate","Chemical","CoCO₃","CoCO3","100","g","Block 1","Laboratory Grade",""
21,"Cobalt Oxide","Chemical","Co₃O₄","Co3O4","100","g","Block 1","Laboratory Grade",""
22,"Cobalt(II) Carbonate","Chemical","CoCO₃","CoCO3","100","g","Block 1","Laboratory Grade",""
23,"Cobalt(II,III) Oxide","Chemical","Co₃O₄","Co3O4","25","g","Block 1","Laboratory Grade",""
24,"Copper Oxide","Chemical","CuO","CuO","250","g","Block 2","Laboratory Grade",""
25,"Copper Phthalocyanine","Chemical","C₃₂H₁₆CuN₈","C32H16CuN8","100","g","Block 2","Laboratory Grade",""
26,"Copper Sulphide","Chemical","CuS","CuS","250","g","Block 2","Laboratory Grade",""
27,"Copper Sulphide","Chemical","CuS","CuS","250","g","Block 2","Laboratory Grade",""
28,"Copper(I) Iodide","Chemical","CuI","CuI","100","g","Block 2","Laboratory Grade",""
29,"Copper(II) Acetate AR (Cupric Acetate)","Chemical","Cu(CH₃COO)₂·H₂O","Cu(CH3COO)2.H2O","500","g","Block 2","AR Grade",""
30,"Copper(II) Chloride Dihydrate Extra Pure","Chemical","CuCl₂·2H₂O","CuCl2.2H2O","500","g","Block 2","Extra Pure",""
31,"Copper(II) Nitrate Trihydrate Extra Pure","Chemical","Cu(NO₃)₂·3H₂O","Cu(NO3)2.3H2O","500","g","Block 2","Extra Pure",""
32,"Copper(II) Sulphate AR","Chemical","CuSO₄·5H₂O","CuSO4.5H2O","500","g","Block 2","AR Grade",""
33,"Erosine Yellow, Practical Grade","Chemical","","","25","g","Block 3","Laboratory Grade",""
34,"Ferric Chloride Hexahydrate","Chemical","FeCl₃·6H₂O","FeCl3.6H2O","500","g","Block 3","Laboratory Grade",""
35,"Ferric Oxide","Chemical","Fe₂O₃","Fe2O3","500","g","Block 3","Laboratory Grade",""
36,"Ferrous Sulphate","Chemical","FeSO₄","FeSO4","","","Block 3","Laboratory Grade",""
37,"Ferrous Sulphide Sticks","Chemical","FeS","FeS","500","g","Block 3","Laboratory Grade",""
38,"Fluorescein, Practical Grade, Free Acid","Chemical","C₂₀H₁₂O₅","C20H12O5","25 x 2","g","Block 3","Laboratory Grade",""
39,"Gold Chloride","Chemical","AuCl₃","AuCl3","","","Block 3","Laboratory Grade",""
40,"Indolin","Chemical","C₈H₇N","C8H7N","","","Block 3","Laboratory Grade",""
41,"Iodine Crystals","Chemical","I₂","I2","100 x 2","g","Block 3","Laboratory Grade",""
42,"Lead Carbonate","Chemical","PbCO₃","PbCO3","500","g","Block 3","Laboratory Grade",""
43,"Lead Chloride","Chemical","PbCl₂","PbCl2","","","Block 3","Laboratory Grade",""
