Item No,Item Name,Category,Formula,Plain Formula,Quantity,Unit,Location / Block,Grade,Notes
217,"Digital Analytical Balance (0.0001 g / 220 g)","Equipment","Electronic","Electronic","2","units","Cupboard 1 (40)","Analytical 4-Decimal","Internal calibration, draft shield, 0.1 mg readability."
218,"Precision Top Loading Balance (0.01 g / 1200 g)","Equipment","Electronic","Electronic","3","units","Cupboard 1 (40)","Precision 2-Decimal","Dual range top pan digital balance."
219,"Digital Benchtop pH Meter with Glass Electrode","Equipment","Electronic","Electronic","3","units","Cupboard 1 (40)","pH/mV/Temp","Automatic temperature compensation (ATC), 3-point calibration."
220,"Portable Handheld pH Meter (Waterproof IP67)","Equipment","Electronic","Electronic","2","units","Cupboard 1 (40)","Field Portable","Battery powered with gel combination electrode."
221,"Digital Conductivity / TDS Meter","Equipment","Electronic","Electronic","2","units","Cupboard 1 (40)","Conductivity/TDS","Range: 0.01 µS/cm to 200.0 mS/cm with platinum cell."
222,"UV-Visible Spectrophotometer (Single Beam 190–1100 nm)","Equipment","Optical/Electronic","Optical/Electronic","1","unit","Cupboard 1 (40)","Spectroscopic","Digital display, 4-cell holder with 10mm quartz cuvettes."
223,"Visible Spectrophotometer / Colorimeter (340–1000 nm)","Equipment","Optical/Electronic","Optical/Electronic","2","units","Cupboard 1 (40)","Colorimetric","Microprocessor based filter colorimeter."
224,"Quartz Cuvettes 10 mm Pathlength (Matched Pair)","Equipment","Fused Quartz","Fused Quartz","4","pairs","Cupboard 1 (40)","UV-Grade Quartz","Transmission: 190–2500 nm, 3.5 mL volume."
225,"Optical Glass Cuvettes 10 mm Pathlength (Matched Pair)","Equipment","Optical Glass","Optical Glass","6","pairs","Cupboard 1 (40)","Visible Range","Transmission: 320–2500 nm."
226,"Digital Melting Point Apparatus (Up to 300°C)","Equipment","Electronic","Electronic","2","units","Cupboard 1 (40)","Capillary Method","Digital temperature sensor, illuminated viewing magnifier."
227,"Abbe Refractometer (nD 1.3000 to 1.7000 / Brix 0–95%)","Equipment","Optical","Optical","1","unit","Cupboard 1 (40)","Precision Optical","With built-in temperature jacket and calibration test piece."
228,"Polarimeter (Manual Disc / Sodium Lamp 589 nm)","Equipment","Optical","Optical","1","unit","Cupboard 1 (40)","Optical Rotation","Vernier scale 0.05°, with 100mm and 200mm observation tubes."
379,"Blue Litmus Paper (Pack of 200)","Equipment","Litmus / Cellulose","Litmus Paper","1","pack (200 strips)","Cupboard 1 (40)","Standard Lab Grade","Opened pack - Acid-base indicator paper for base detection"
380,"Buchner Flask (1000 mL)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","3","pcs","Cupboard 1 (40)","Borosilicate 3.3 / Class A","Heavy wall vacuum filtering flasks 1000 mL"
381,"Buchner Flask (500 mL)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","2","pcs","Cupboard 1 (40)","Borosilicate 3.3 / Class A","Heavy wall vacuum filtering flasks 500 mL"
382,"Burette with Stopcock","Glassware","SiO₂·B₂O₃","SiO2.B2O3","1","pc","Cupboard 1 (40)","Borosilicate 3.3 / Class A","Class A precision titration burette"
383,"Centrifuge Tubes Glass/Plastic","Glassware","Borosilicate / PP","Glass / PP","1","set","Cupboard 1 (40)","Borosilicate 3.3 / Class A","Graduated centrifuge tubes"
384,"Citric Acid (500 g)","Chemical","C₆H₈O₇","C6H8O7","1","bottle (500 g)","Cupboard 1 (40)","AR / Laboratory Reagent","2-Hydroxypropane-1,2,3-tricarboxylic acid 500 g"
385,"Conical Flask (100 mL)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","4","pcs","Cupboard 1 (40)","Borosilicate 3.3 / Class A","Erlenmeyer flasks 100 mL"
386,"Conical Flask (1000 mL)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","4","pcs","Cupboard 1 (40)","Borosilicate 3.3 / Class A","Erlenmeyer flasks 1000 mL"
387,"Conical Flask (250 mL)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","9","pcs","Cupboard 1 (40)","Borosilicate 3.3 / Class A","Erlenmeyer flasks 250 mL"
388,"Conical Flask (50 mL)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","4","pcs","Cupboard 1 (40)","Borosilicate 3.3 / Class A","Erlenmeyer flasks 50 mL"
389,"Crucible (30 mL)","Glassware","Porcelain","Porcelain","1","pc","Cupboard 1 (40)","Borosilicate 3.3 / Class A","Glazed porcelain crucible for high temperature heating"
390,"Crucible Tongs","Equipment","Stainless Steel","Stainless Steel","1","pc","Cupboard 1 (40)","Standard Lab Grade","Bowed jaw stainless steel tongs for handling hot crucibles"
391,"Dropping Bottle (30 mL)","Glassware","Glass","Glass","1","pc","Cupboard 1 (40)","Borosilicate 3.3 / Class A","Indicator dropping bottle with pipette dropper"
392,"FTO Glass Substrates (Standard)","Equipment","SnO₂:F on Glass","SnO2:F / Glass","14","pcs","Cupboard 1 (40)","Standard Lab Grade","Fluorine-doped Tin Oxide transparent conductive glass"
393,"FTO Glass Substrates (4 cm × 9 cm)","Equipment","SnO₂:F on Glass","SnO2:F / Glass","1","pc","Cupboard 1 (40)","Standard Lab Grade","Large size 4 cm × 9 cm conductive FTO substrate"
394,"Glass Funnel (50 mm)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","4","pcs","Cupboard 1 (40)","Borosilicate 3.3 / Class A","60 degree angle conical filtration funnels"
395,"Glass Pasteur Pipettes","Glassware","Soda Glass","Soda Glass","1","box","Cupboard 1 (40)","Borosilicate 3.3 / Class A","Fine tip uncalibrated transfer pipettes"
396,"Glass Stopper Bottles","Glassware","Glass","Glass","2","bottles","Cupboard 1 (40)","Borosilicate 3.3 / Class A","Ground neck reagent storage bottles"
397,"Liebig Condenser & Distillation Set","Glassware","SiO₂·B₂O₃","SiO2.B2O3","1","set","Cupboard 1 (40)","Borosilicate 3.3 / Class A","Distillation set with Liebig condenser and adapters"
398,"Measuring Cylinder (10 mL)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","6","pcs","Cupboard 1 (40)","Borosilicate 3.3 / Class A","Graduated 10 mL measuring cylinders"
399,"Measuring Cylinder (100 mL)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","9","pcs","Cupboard 1 (40)","Borosilicate 3.3 / Class A","Graduated 100 mL measuring cylinders"
400,"Measuring Cylinder (25 mL)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","9","pcs","Cupboard 1 (40)","Borosilicate 3.3 / Class A","Graduated 25 mL measuring cylinders"
401,"Measuring Cylinder (50 mL)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","6","pcs","Cupboard 1 (40)","Borosilicate 3.3 / Class A","Graduated 50 mL measuring cylinders"
402,"Mee Oil Bottle (60 mL)","Chemical","Madhuca longifolia oil","Natural Oil","1","bottle (60 mL)","Cupboard 1 (40)","AR / Laboratory Reagent","Natural seed oil bottle"
403,"Methanol Bottle","Chemical","CH₃OH","CH3OH","2","bottles","Cupboard 1 (40)","AR / Laboratory Reagent","Methyl alcohol reagent bottles"
404,"Microscope Slides (Opened pack)","Equipment","Soda-Lime Glass","Glass","<72","slides","Cupboard 1 (40)","Standard Lab Grade","Opened pack (<72 slides) - 25 × 75 mm optical clear"
405,"Microscope Slides (72-pack Sealed)","Equipment","Soda-Lime Glass","Glass","1","pack (72 slides)","Cupboard 1 (40)","Standard Lab Grade","Full sealed box of 72 microscope glass slides"
406,"n-Butanol Bottle","Chemical","C₄H₉OH","C4H9OH","1","bottle","Cupboard 1 (40)","AR / Laboratory Reagent","1-Butanol alcohol solvent bottle"
407,"Pen Type Digital pH Meter","Equipment","Electronic","Electronic","2","units","Cupboard 1 (40)","Standard Lab Grade","Pocket digital pen-type pH tester"
408,"Petri Dishes Glass (Cupboard 40)","Glassware","Borosilicate","Borosilicate","7","pairs","Cupboard 1 (40)","Borosilicate 3.3 / Class A","Borosilicate glass culture and drying dishes"
409,"Petri Dishes (10 × 2 cm)","Glassware","Borosilicate","Borosilicate","1","set","Cupboard 1 (40)","Borosilicate 3.3 / Class A","Large diameter 10 × 2 cm glass petri dishes"
410,"pH 6.86 Calibration Buffer Powder","Chemical","KH₂PO₄ + Na₂HPO₄","KH2PO4 + Na2HPO4","1","packet","Cupboard 1 (40)","AR / Laboratory Reagent","Precision phosphate buffer for pH electrode calibration at 25°C"
411,"Plastic Buchner Funnel","Equipment","Polypropylene","PP","6","pcs","Cupboard 1 (40)","Standard Lab Grade","Chemical resistant polypropylene vacuum filtration funnels"
412,"Plastic Petri Dish","Equipment","Polystyrene","PS","2","pcs","Cupboard 1 (40)","Standard Lab Grade","Sterile disposable culture dishes"
413,"Porcelain Mortar","Glassware","Porcelain","Porcelain","1","pc","Cupboard 1 (40)","Borosilicate 3.3 / Class A","Solid heavy glazed porcelain grinding bowl"
414,"Porcelain Pestle (15 mm)","Glassware","Porcelain","Porcelain","1","pc","Cupboard 1 (40)","Borosilicate 3.3 / Class A","Unglazed grinding head pestle"
415,"Red Litmus Paper (Pack of 200)","Equipment","Litmus / Cellulose","Litmus Paper","1","pack (200 strips)","Cupboard 1 (40)","Standard Lab Grade","Acid-base indicator paper for base detection"
416,"Separation Funnel (125 mL)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","2","pcs","Cupboard 1 (40)","Borosilicate 3.3 / Class A","Pear shaped extraction funnel with PTFE key"
417,"Separation Funnel (60 mL)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","2","pcs","Cupboard 1 (40)","Borosilicate 3.3 / Class A","Small scale extraction funnels 60 mL"
418,"Silver Nitrate (25 g)","Chemical","AgNO₃","AgNO3","1","bottle (25 g)","Cupboard 1 (40)","AR / Laboratory Reagent","Analytical reagent grade silver nitrate crystals 25 g"
419,"Surgical Blades (Sterile Carbon Steel)","Equipment","Carbon Steel","Carbon Steel","8","pcs","Cupboard 1 (40)","Standard Lab Grade","Sterile surgical cutting blades for substrate and film slicing"
420,"Test Tube (12 × 150 mm)","Glassware","Borosilicate","Borosilicate","24","pcs","Cupboard 1 (40)","Borosilicate 3.3 / Class A","Standard test tubes 12 × 150 mm"
